iter	RMSE
0	3148.924322
1	2875.409232
2	2625.190547
3	2399.857822
4	2201.104757
5	2024.125141
6	1865.11708
7	1719.95267
8	1589.542574
9	1475.532071
10	1368.333666
11	1276.534323
12	1195.739963
13	1122.711589
14	1058.673587
15	997.0596833
16	942.6807302
17	893.1631912
18	846.8217926
19	806.5871901
20	775.7347052
21	747.9138425
22	722.4348954
23	699.8015273
24	677.4745857
25	658.2234815
26	641.4301763
27	628.1518375
28	616.4943716
29	604.5515385
30	593.4230647
31	583.8551992
32	574.5789636
33	566.9900192
34	560.8343683
35	554.4843514
36	548.5631315
37	543.4308197
38	537.4168194
39	533.2963208
40	529.0425809
41	525.6454357
42	520.3826017
43	517.2946177
44	514.4126607
45	510.6436715
46	508.0747791
47	504.9307697
48	502.1458369
49	500.197227
50	498.0690497
51	495.1784574
52	493.7569386
53	492.4299016
54	489.9872295
55	487.366384
56	485.1818497
57	483.4441752
58	481.5475871
59	480.2768483
60	479.3268006
61	477.7184559
62	476.7956756
63	475.4479043
64	474.2541201
65	472.4455761
66	471.6551408
67	471.0120284
68	470.0223479
69	469.4718651
70	468.7606755
71	468.0481655
72	467.2302725
73	466.5747447
74	465.9124925
75	465.4041636
76	463.9257997
77	463.4234883
78	462.7000368
79	461.4068827
80	460.8500859
81	460.3946417
82	459.7818679
83	458.8188423
84	458.1105435
85	457.2124676
86	456.5923766
87	455.73555
88	455.1289691
89	454.1324001
90	453.5368673
91	452.9783712
92	452.3920108
93	451.783759
94	451.1282416
95	450.5547928
96	450.1162545
97	449.776021
98	449.4767753
99	449.0055144
100	448.4279298
101	447.9090295
102	447.4805089
103	446.9947704
104	446.6115642
105	446.3636008
106	446.0382127
107	445.5497824
108	445.2175805
109	444.8235689
110	444.2032775
111	443.7257713
112	443.2440367
113	442.7968117
114	442.21422
115	441.7937191
116	441.4480206
117	441.1184184
118	440.6686447
119	440.2821735
120	439.9686918
121	439.4378326
122	439.2052235
123	438.7963456
124	438.335268
125	437.9555272
126	437.6913165
127	437.4035785
128	437.0928859
129	436.8431985
130	436.5134702
131	436.0569974
132	435.6333871
133	435.2534326
134	434.8900589
135	434.5879421
136	434.3139563
137	434.0099618
138	433.7518364
139	433.4028499
140	433.0615337
141	432.6423057
142	432.2787217
143	431.9953073
144	431.7550901
145	431.3959668
146	431.1495063
147	430.8228961
148	430.468625
149	430.1180974
150	429.8197536
151	429.4998908
152	429.2654163
153	428.9880362
154	428.879336
155	428.6938246
156	428.3861794
157	428.1296629
158	427.827517
159	427.4686377
160	427.2108986
161	426.9551065
162	426.6322757
163	426.2575011
164	425.937137
165	425.6648723
166	425.4488654
167	425.2188019
168	424.9631988
169	424.7376955
170	424.605255
171	424.3882428
172	424.1493467
173	423.942001
174	423.7075253
175	423.4255613
176	423.1729116
177	422.9802733
178	422.7600012
179	422.5290137
180	422.2517133
181	422.0465999
182	421.9456093
183	421.7122279
184	421.3823898
185	421.1075701
186	420.8768275
187	420.665999
188	420.4765882
189	420.230572
190	420.0289774
191	419.8506513
192	419.6938965
193	419.615163
194	419.4100716
195	419.0757744
196	418.869633
197	418.6986824
198	418.5346944
199	418.2931909
200	418.1053146
201	417.909012
202	417.6619433
203	417.4495708
204	417.2321158
205	416.9240122
206	416.6504733
207	416.4689827
208	416.2919054
209	416.2165926
210	416.0209897
211	415.7960382
212	415.6623599
213	415.35126
214	415.0980139
215	414.9172606
216	414.7808824
217	414.6128291
218	414.4610396
219	414.2754128
220	414.0881683
221	413.8351206
222	413.6607934
223	413.330317
224	413.1683865
225	412.9981097
226	412.7952037
227	412.626354
228	412.4322791
229	412.1403621
230	411.9320658
231	411.7948
232	411.6806115
233	411.4815385
234	411.3241855
235	411.2690491
236	411.0964868
237	410.9393527
238	410.7427756
239	410.5216022
240	410.3242734
241	410.0958958
242	409.9576653
243	409.8367534
244	409.717971
245	409.5463258
246	409.4009275
247	409.2176146
248	409.0900403
249	408.9765805
250	408.814555
251	408.6169921
252	408.5152751
253	408.3739578
254	408.2563258
255	408.1994821
256	408.0831101
257	407.9496837
258	407.7283158
259	407.6028669
260	407.3780656
261	407.2375902
262	407.1294521
263	407.0761841
264	406.8871058
265	406.8369143
266	406.6187917
267	406.4416994
268	406.3010614
269	406.1631896
270	405.9816892
271	405.9164784
272	405.6999094
273	405.5008718
274	405.357865
275	405.2320655
276	405.006558
277	404.896126
278	404.6924483
279	404.5950193
280	404.3007683
281	404.1127652
282	403.9604729
283	403.8654758
284	403.7555906
285	403.6649278
286	403.5047815
287	403.3801035
288	403.3220507
289	403.1749316
290	402.9574763
291	402.7967667
292	402.7313439
293	402.5905451
294	402.5475733
295	402.4306287
296	402.2942897
297	402.1468819
298	402.0400572
299	401.9142015
300	401.8075855
301	401.5744432
302	401.4167154
303	401.2689393
304	401.1109516
305	400.9177102
306	400.807068
307	400.7506311
308	400.5644746
309	400.3987156
310	400.3204357
311	400.2238617
312	399.9967933
313	399.8783687
314	399.7589873
315	399.6056119
316	399.430493
317	399.3006846
318	399.185436
319	399.0711279
320	398.9532206
321	398.8682126
322	398.823119
323	398.7264774
324	398.6312249
325	398.4709535
326	398.3562888
327	398.307932
328	398.1614556
329	397.9937957
330	397.8929991
331	397.821663
332	397.723938
333	397.6172243
334	397.5125661
335	397.4120982
336	397.2830683
337	397.1108046
338	397.0386785
339	396.8718979
340	396.6309051
341	396.4746706
342	396.4082026
343	396.2428552
344	396.0085013
345	395.8609578
346	395.7353313
347	395.6354803
348	395.5644111
349	395.5291574
350	395.4129841
351	395.2872821
352	395.2023525
353	395.1133805
354	394.9696692
355	394.8723667
356	394.7399392
357	394.6477753
358	394.5667772
359	394.5329911
360	394.4092241
361	394.3342348
362	394.1988454
363	394.1135309
364	394.0893797
365	393.8958265
366	393.814859
367	393.7143634
368	393.6229079
369	393.4179807
370	393.3452036
371	393.1403624
372	392.9716216
373	392.8702885
374	392.7322475
375	392.6469207
376	392.545463
377	392.4757298
378	392.3285762
379	392.1872468
380	392.1100806
381	391.8850866
382	391.7181998
383	391.6425337
384	391.5176467
385	391.330504
386	391.2400954
387	391.1953598
388	391.0944516
389	391.0259397
390	390.8888466
391	390.8288919
392	390.7500429
393	390.6742299
394	390.5994637
395	390.4487975
396	390.354504
397	390.2321385
398	390.1529175
399	389.9616469
